,clean
0,fatihportakal li boyle devam ederse  dk secim sonucunu akp aciklar balkon konusmasinida yapar millette şok ayilana kadar yildaha dunyadan göçer gider
1,akillanmiyorum hanwizzly pusholder erdoğanin artıklarıerdogana  yenilmis bi adamin oldugu masaya verip rteyi dolayli sekilden baskan yaptirtacagima direkt rteye veririm iyi azindan sonucu kabul etmis oluruz hala karar veremeyen sokuk li ekrem olmali iste neyin laga lugasindalar
2,sinirden lı bile yazamadım hahaha
3,eminpazarci ferrari reis el arabasını lı çorba kaşığı kadar ekrem çay kaşığı kadar mansur seçmene aynı allayıp pullamaya çalışıyorlar  sonrasında tarih rezil zelil altılı göreceğiz
4,karargahhaber lı based
5,hirozaki hiro tayyip gitmeden li gelmeden muharrem ince cb olamicak bunu sende biliyorsun bunlara sans taniyip rteyi gondermemiz lazim sonrasinda zaten muhalefetin babasi muharrem ince olur
6,diyor cemaatler tarikatlar ille billa smilingfacewithsunglasses hey gidi hey istedikleri haklara bak hani adalet getirecekti li herife yargılanma değil ödül veriyor ödül
7,cumhurbaşkanı adayım mansur yavaştır lı lütfen güzel karar verin kendi çıkarlarınız değil milletin çıkarını önemseyin
8,lı değil seçmenleri şımarık demokrasiye aşina değilbabacana davutoğluna rteden focus olmaları sebeptenrte gidicibiliyorlarkendilerine yeni hedefler arama peşindelero yüzden zulümden bıktık gitsin iktidar demeleri benim cihazda etki yaratmıyor
9,ihsandagi cankakisim li ülkenin geleceğini değil kendi gelecegini dusunuyor
10,lı kalkın cumaya gidelim
11,beyzatfn davutoğlu babacanın olduğu oluşuma aklı başında vatandaşın akpye muhalefet olarak vermez dolaylı şekilde akpye dir partisiz olarak ü özdağın lı söyledikleri bencede doğru geliyor muhalefeti iktidarı herşey erdoğana çalışıyor
12,pusholder lı kurulduğunda mükremi̇n çocık sahibi olmak isteseydi çoktan doğururdu bunlar kullanacakları tespit edemediler
13,sekermurat li
14,ugurdundarsozcu ülkede sadece lı yok bari yapmayın
15,speroita derin bixi den öğrendiğim bilgilere dayanarak li  mayıstaki seçime okey demez
16,ben artık kabullendim ülke yönetimine talip lı kazanmamak uğraşıyor iktidar ülkeyi altın kaşıkla yemeye devam ediyor milletin zeka seviyesi gittikçe düşüyor liberaller sayıca artıyor bunlar umut kırıcı şeyler maalesef
17,cb seçme süreci başkanın lafından çıkmayan teknik direktör seçme işine döndü soyunma odasına girenhocaya taktik kağıdı uzatantelefonla direktif gönderen olmak istiyor lı uygun kişi hala bulunamadı kazanmaktan önemli söz dinleyen birini bulabilmek
18,size soruyoruz lı cumhurbaşkanı bileşen parti genel başkanlarından olursa tercihiniz hangi i̇simden yana olur seçim erkenseçim sandıkanaliz
19,lı beni ilgilendirmez akıl mantık ana muhalefet partisi dururken  alan partinin baskanı beni göstersinler kazanırım diyemez iyip bile kendi cıkarmak isteyebilir deva alaka hakkaniyetsiz saçma dağılım
20,ugurdundarsozcu lı destekçileri samimiyetlerini iyice yitirdi programın fikir babasını çağırmamak nedir önceki seçimde  yüksek ikinci oyu alanı önce muharrem i̇nce davet edilmelidiydi demokrasi adına akp genel başkanı bile davet edilmeli gelmezse kendi ayıbı
21,cumhurbaşkanı değil lı imza yetkilisi olacakmış demokrasiye aykırı  lik parti genel başkanı imza yetkilisi halkın seçtiği kişi yetkili olmayacak ‘lı hukuken demokratik haklar açısından proje sınıfta kaldı tabi oyumuzerdoğana
22,turkisshpatriot nin başından beri söylüyoruz lı aptalca
23,slmhktn lı kendi içinde bizim eski koalisyon dönemini yaşıyor
24,ahmetdavutoglu hukuk diyorsunuz akıl küpü hocam li cb imza yetkisine sahip olabilir hukuk meşruiyet sorumlulukhesap verilebilirlik açıkçası sizin derdiniz koltuk
25,naime ozguradamturk chp nin içindeki kürdistan naaralari atan sezginler özerklik bağıran danışmanlar pkk li değil mifeto artığı diğer iki parti deva gelecek onlarda li türk milliyetcilerinin olduğu parti zaferi kutlamaya kaldı zaten
